season,week,game_id,team,score,adj_score,game_drives,plays,success_rate,total_epa,exp_epa,adj_epa,pass_rate,pass_over_exp,epa_turnover,penalty_epa,special_epa,fumble_lost,conversion_third,epa_third,conversion_fourth,epa_fourth
2024,1,2024_01_BAL_KC,BAL,20,24.2,20,81,0.519,2,12.7,12.8,72.5,-1.4,-5.6,-3.5,-2.2,1-1,7-14,3.6,1-2,-1.2
2024,1,2024_01_BAL_KC,KC,27,24.9,20,55,0.418,8.7,9.1,9.8,62.3,6.8,-3.8,1.7,0.6,NA,4-9,2.6,NA,NA
2024,1,2024_01_CAR_NO,CAR,10,16.2,24,38,0.342,-16.2,5.1,-3,71.2,-7.9,-11.4,1,-1.9,1-1,1-10,-11.3,1-3,-2.2
2024,1,2024_01_CAR_NO,NO,47,27.6,24,56,0.482,20.7,9.8,11.3,42.4,-8.5,NA,0.1,3.1,NA,7-13,5.8,NA,NA
2024,1,2024_01_DAL_CLE,CLE,17,6.8,28,55,0.164,-27.4,8.3,-13.2,78.9,0.8,-9.2,-4.2,0.5,1-0,2-15,-7.1,3-5,1.9
2024,1,2024_01_DAL_CLE,DAL,33,21.3,28,57,0.368,0.2,8.6,0.2,58.1,-0.8,NA,-2.2,4.5,1-0,4-14,-4.8,NA,NA
2024,1,2024_01_DEN_SEA,DEN,20,14.2,30,72,0.264,-12.4,11.7,-10.3,71,-1.5,-10.7,-1.2,8.6,2-1,5-18,-13.1,1-1,2.7
2024,1,2024_01_DEN_SEA,SEA,26,29.1,30,63,0.476,-0.2,8.1,2.9,54,0,-4.8,-2.6,0.8,NA,4-11,-4.2,NA,NA
2024,1,2024_01_GB_PHI,GB,29,22.2,22,71,0.394,7.8,11.4,13.5,63.6,0.9,-3.5,-2.1,-2.2,1-0,3-11,2.9,1-1,3
2024,1,2024_01_GB_PHI,PHI,34,26.2,22,77,0.481,9.8,14.6,11.2,53.3,-1.2,-10.2,3.9,2,2-1,4-13,-10.2,1-1,1.7
2024,1,2024_01_HOU_IND,HOU,29,23.6,19,80,0.475,14.1,13.9,10.6,52.6,-4.3,NA,1,1.1,NA,7-14,5.3,2-2,6.2
2024,1,2024_01_HOU_IND,IND,27,20.6,19,46,0.435,5.6,13.3,7.4,56.8,-10,-3.9,-0.6,3,NA,5-10,0.3,1-2,0.2
2024,1,2024_01_JAX_MIA,JAX,17,17.2,22,57,0.386,-3,6.8,-2.7,50.9,-6.6,-5.9,1.1,3.8,1-1,2-10,-1.2,0-1,-3.4
2024,1,2024_01_JAX_MIA,MIA,20,20.5,22,73,0.397,-0.5,16.8,6.7,63.4,-4.3,NA,-1.7,-0.3,NA,8-16,3.3,0-2,-5.1
2024,1,2024_01_LA_DET,DET,26,25.3,21,63,0.492,7.3,13.2,8.4,50.8,-7.3,-4.5,1.4,0,NA,6-13,-0.2,1-1,2.4
2024,1,2024_01_LA_DET,LA,20,25.8,21,80,0.475,4.9,22.3,13.6,67.9,3.4,-4.6,3.2,-1.2,NA,5-12,0.5,1-2,-0.4
2024,1,2024_01_LV_LAC,LAC,22,19.3,26,58,0.345,-9.6,10,2.5,54.7,-7.6,NA,-3.3,-0.5,NA,4-14,-2.2,NA,NA
2024,1,2024_01_LV_LAC,LV,10,16.5,26,60,0.333,-23.1,7,-5.4,68.3,1.3,-15.9,1.4,-4.6,2-2,5-14,-4,0-1,-3.6
2024,1,2024_01_MIN_NYG,MIN,28,23.5,21,42,0.476,8.9,6.2,5.2,51.9,0.1,-7.3,3.8,-2.3,1-1,3-10,-2,1-1,3.9
2024,1,2024_01_MIN_NYG,NYG,6,10.3,21,54,0.296,-13.6,6.5,-8.2,72.9,-4.5,-11.7,-3.2,4.9,NA,7-18,2.4,1-3,-4.3
2024,1,2024_01_NE_CIN,CIN,10,17.1,18,51,0.431,-2.3,5.8,-1.9,74.5,9.4,-3.7,2.5,2.3,2-1,4-11,-6.8,0-1,-3.1
2024,1,2024_01_NE_CIN,NE,16,19.3,18,64,0.438,7.5,10.5,4.6,47.5,-6.8,NA,-0.8,8,1-0,6-14,0.8,NA,NA
2024,1,2024_01_NYJ_SF,NYJ,19,15.2,20,37,0.351,-5.4,10.6,1.6,64.6,-5,-9.2,-0.5,0.8,1-1,6-10,6,0-1,-3
2024,1,2024_01_NYJ_SF,SF,32,26.2,20,68,0.456,15.2,18.1,12.1,49.3,-9.4,NA,0.3,7.2,NA,6-13,-2.2,NA,NA
2024,1,2024_01_PIT_ATL,ATL,10,17.2,20,55,0.436,-16.8,5.8,-7.2,58.2,-9.7,-18.4,-0.4,-0.1,1-1,2-9,-2.8,1-1,2.7
2024,1,2024_01_PIT_ATL,PIT,18,14.8,20,71,0.366,-3.4,7.8,-2.7,47.1,-10.1,NA,-2.7,6,1-0,8-17,1.2,0-1,-4
2024,1,2024_01_TEN_CHI,CHI,24,16.8,23,57,0.386,-15.1,10.8,-6.6,64.2,2,-5.5,-0.7,-1.2,2-0,2-13,-9.8,2-2,4.6
