gid,season,week,gameday,game_type,team,opp,pts,pts_allowed,is_home,plays,pr_all,proe,proe_fastr,expl_off,expl20_off,expl_off_n,epa_off,succ_off,spp_neut,spp_neut_n,spp_neut_run,spp_neut_run_n,plays_neut,pr_neut,nh_neut,proe_neut,pr_wp,def_plays,expl_def,expl20_def,epa_def,succ_def,pts_off,drives,ppd
2017_16_SEA_DAL,2017,16,2017-12-24,REG,DAL,SEA,12.0,21.0,1,67,0.5522388059701493,-6.716005638330247,,0.029850746268656716,0.014925373134328358,2,-0.12137110926903678,0.417910447761194,34.27272727272727,33,37.708333333333336,24,42.0,0.38095238095238093,0.023809523809523808,-15.20791967267844,0.4489795918367347,51,0.0784313725490196,0.0196078431372549,-0.14017091476715746,0.39215686274509803,12.0,11,1.0909090909090908
2017_16_TB_CAR,2017,16,2017-12-24,REG,TB,CAR,19.0,22.0,0,57,0.5789473684210527,-1.2183751441473365,,0.10526315789473684,0.10526315789473684,6,-0.07252883449195324,0.2982456140350877,34.64705882352941,34,38.6875,16,42.0,0.5952380952380952,0.023809523809523808,-0.6804881452475177,0.574468085106383,58,0.06896551724137931,0.034482758620689655,-0.12535131418415205,0.3793103448275862,19.0,10,1.9
2017_16_TB_CAR,2017,16,2017-12-24,REG,CAR,TB,22.0,19.0,1,58,0.4827586206896552,-9.650228751386363,,0.06896551724137931,0.034482758620689655,4,-0.12535131418415205,0.3793103448275862,34.333333333333336,33,37.421052631578945,19,39.0,0.48717948717948717,0.2564102564102564,-7.8431740131043055,0.48717948717948717,57,0.10526315789473684,0.10526315789473684,-0.07252883449195324,0.2982456140350877,16.0,9,1.7777777777777777
2017_16_LV_PHI,2017,16,2017-12-25,REG,LV,PHI,10.0,19.0,0,62,0.4838709677419355,-11.447179420302675,,0.08064516129032258,0.04838709677419355,5,-0.5558358757238614,0.3064516129032258,36.3,30,38.25,20,41.0,0.4146341463414634,0.0,-16.449747566165037,0.4146341463414634,61,0.06557377049180328,0.01639344262295082,-0.3792121131437481,0.3114754098360656,10.0,15,0.6666666666666666
2017_16_LV_PHI,2017,16,2017-12-25,REG,PHI,LV,19.0,10.0,1,61,0.6557377049180327,3.86263861148444,,0.06557377049180328,0.01639344262295082,4,-0.3792121131437481,0.3114754098360656,31.724137931034484,29,35.92857142857143,14,38.0,0.5789473684210527,0.05263157894736842,-2.126828670146819,0.6521739130434783,62,0.08064516129032258,0.04838709677419355,-0.5558358757238614,0.3064516129032258,13.0,14,0.9285714285714286
2017_16_PIT_HOU,2017,16,2017-12-25,REG,PIT,HOU,34.0,6.0,0,55,0.5454545454545454,4.46467252878615,,0.10909090909090909,0.07272727272727272,6,0.1986600818197579,0.4,33.45454545454545,11,40.4,5,13.0,0.6153846153846154,0.0,7.392408693115628,0.631578947368421,52,0.1346153846153846,0.038461538461538464,-0.24765824265348418,0.38461538461538464,34.0,11,3.090909090909091
2017_16_PIT_HOU,2017,16,2017-12-25,REG,HOU,PIT,6.0,34.0,1,52,0.46153846153846156,-18.885520651067896,,0.1346153846153846,0.038461538461538464,7,-0.24765824265348418,0.38461538461538464,49.0,1,,0,3.0,0.6666666666666666,0.0,6.793541942193056,0.47058823529411764,55,0.10909090909090909,0.07272727272727272,0.1986600818197579,0.4,6.0,10,0.6
2017_17_ARI_SEA,2017,17,2017-12-31,REG,ARI,SEA,26.0,24.0,0,67,0.5223880597014925,-2.977923438814527,,0.029850746268656716,0.014925373134328358,2,-0.12504705832789345,0.3582089552238806,36.07692307692308,26,38.46666666666667,15,32.0,0.5,0.0,0.43374660640526197,0.5454545454545454,54,0.14814814814814814,0.12962962962962962,-0.03198322588599365,0.37037037037037035,26.0,14,1.8571428571428572
2017_17_ARI_SEA,2017,17,2017-12-31,REG,SEA,ARI,24.0,26.0,1,54,0.5925925925925926,-5.168990592186588,,0.14814814814814814,0.12962962962962962,8,-0.03198322588599365,0.37037037037037035,32.0,6,29.0,1,9.0,0.7777777777777778,0.0,15.381729752521883,0.631578947368421,67,0.029850746268656716,0.014925373134328358,-0.12504705832789345,0.3582089552238806,18.0,13,1.3846153846153846
2017_17_BUF_MIA,2017,17,2017-12-31,REG,BUF,MIA,22.0,16.0,0,62,0.5,-2.224402454202422,,0.08064516129032258,0.03225806451612903,5,0.10100994131532796,0.41935483870967744,29.071428571428573,14,30.4,5,17.0,0.6470588235294118,0.0,8.24400714074258,0.6666666666666666,67,0.07462686567164178,0.05970149253731343,0.03156918115909762,0.44776119402985076,22.0,10,2.2
2017_17_BUF_MIA,2017,17,2017-12-31,REG,MIA,BUF,16.0,22.0,1,67,0.6716417910447762,-2.927010273649842,,0.07462686567164178,0.05970149253731343,5,0.03156918115909762,0.44776119402985076,33.916666666666664,12,39.0,4,14.0,0.7142857142857143,0.0,11.262941003944837,0.5714285714285714,62,0.08064516129032258,0.03225806451612903,0.10100994131532796,0.41935483870967744,16.0,11,1.4545454545454546
2017_17_CAR_ATL,2017,17,2017-12-31,REG,CAR,ATL,10.0,22.0,0,59,0.5932203389830508,-8.797712306819564,,0.1016949152542373,0.05084745762711865,6,-0.30277697818459726,0.3559322033898305,31.51851851851852,27,40.733333333333334,15,35.0,0.5428571428571428,0.0,-5.020793030540444,0.55,70,0.05714285714285714,0.04285714285714286,0.054327743444674316,0.38571428571428573,10.0,12,0.8333333333333334
2017_17_CAR_ATL,2017,17,2017-12-31,REG,ATL,CAR,22.0,10.0,1,70,0.6428571428571429,10.870925197687228,,0.05714285714285714,0.04285714285714286,4,0.054327743444674316,0.38571428571428573,31.75,44,40.77777777777778,18,52.0,0.6153846153846154,0.0,6.1994208890077065,0.660377358490566,59,0.1016949152542373,0.05084745762711865,-0.30277697818459726,0.3559322033898305,22.0,13,1.6923076923076923
2017_17_CHI_MIN,2017,17,2017-12-31,REG,CHI,MIN,10.0,23.0,0,51,0.7058823529411765,0.2772054832686861,,0.09803921568627451,0.0784313725490196,5,-0.3630915520938161,0.21568627450980393,39.42857142857143,7,41.666666666666664,3,11.0,0.5454545454545454,0.0,0.22933535383482448,0.5454545454545454,65,0.07692307692307693,0.03076923076923077,0.041715158557205846,0.4,3.0,11,0.2727272727272727
2017_17_CHI_MIN,2017,17,2017-12-31,REG,MIN,CHI,23.0,10.0,1,65,0.47692307692307695,-1.4258543438551927,,0.07692307692307693,0.03076923076923077,5,0.041715158557205846,0.4,36.5,22,39.07692307692308,13,27.0,0.4074074074074074,0.037037037037037035,-9.741737026687538,0.45454545454545453,51,0.09803921568627451,0.0784313725490196,-0.3630915520938161,0.21568627450980393,21.0,13,1.6153846153846154
2017_17_CIN_BAL,2017,17,2017-12-31,REG,CIN,BAL,31.0,27.0,0,72,0.6111111111111112,-3.2811695893998207,,0.09722222222222222,0.05555555555555555,7,-0.041147802720403,0.3888888888888889,28.75,36,36.333333333333336,21,45.0,0.5111111111111111,0.4222222222222222,-6.642657340619277,0.5111111111111111,74,0.05405405405405406,0.0,-0.23525660283525457,0.36486486486486486,24.0,15,1.6
2017_17_CIN_BAL,2017,17,2017-12-31,REG,BAL,CIN,27.0,31.0,1,74,0.6486486486486487,3.1335419955770765,,0.05405405405405406,0.0,4,-0.23525660283525457,0.36486486486486486,27.612903225806452,31,34.142857142857146,14,40.0,0.625,0.025,3.6119486332308384,0.6428571428571429,72,0.09722222222222222,0.05555555555555555,-0.041147802720403,0.3888888888888889,27.0,15,1.8
2017_17_CLE_PIT,2017,17,2017-12-31,REG,CLE,PIT,24.0,28.0,0,63,0.5714285714285714,-7.0658958723826455,,0.12698412698412698,0.09523809523809523,8,-0.021376553496790872,0.3492063492063492,34.37931034482759,29,38.23529411764706,17,37.0,0.4864864864864865,0.02702702702702703,-14.367597135244312,0.5128205128205128,57,0.14035087719298245,0.08771929824561403,-0.1036167637324398,0.42105263157894735,24.0,12,2.0
2017_17_CLE_PIT,2017,17,2017-12-31,REG,PIT,CLE,28.0,24.0,1,57,0.5263157894736842,1.7108464748161736,,0.14035087719298245,0.08771929824561403,8,-0.1036167637324398,0.42105263157894735,33.0,32,34.93333333333333,15,39.0,0.5384615384615384,0.20512820512820512,2.2746862131989483,0.6666666666666666,63,0.12698412698412698,0.09523809523809523,-0.021376553496790872,0.3492063492063492,22.0,12,1.8333333333333333
2017_17_DAL_PHI,2017,17,2017-12-31,REG,DAL,PHI,6.0,0.0,0,63,0.49206349206349204,-7.770814930795806,,0.1111111111111111,0.06349206349206349,7,-0.11248641284536241,0.3333333333333333,31.041666666666668,24,35.75,16,35.0,0.45714285714285713,0.0,-14.56055104892348,0.5238095238095238,55,0.01818181818181818,0.01818181818181818,-0.36788218966978403,0.36363636363636365,6.0,11,0.5454545454545454
2017_17_DAL_PHI,2017,17,2017-12-31,REG,PHI,DAL,0.0,6.0,1,55,0.6727272727272727,5.06978064819941,,0.01818181818181818,0.01818181818181818,1,-0.36788218966978403,0.36363636363636365,32.310344827586206,29,39.46153846153846,13,40.0,0.6,0.05,1.965382630223227,0.6046511627906976,63,0.1111111111111111,0.06349206349206349,-0.11248641284536241,0.3333333333333333,0.0,12,0.0
2017_17_GB_DET,2017,17,2017-12-31,REG,GB,DET,11.0,35.0,0,62,0.5645161290322581,-10.433697164613738,,0.08064516129032258,0.06451612903225806,5,-0.19238653013494786,0.3870967741935484,34.142857142857146,21,36.857142857142854,14,27.0,0.37037037037037035,0.0,-18.16662490356228,0.37037037037037035,54,0.09259259259259259,0.07407407407407407,0.21480836659826927,0.4074074074074074,11.0,13,0.8461538461538461
2017_17_GB_DET,2017,17,2017-12-31,REG,DET,GB,35.0,11.0,1,54,0.5925925925925926,10.008475982358608,,0.09259259259259259,0.07407407407407407,5,0.21480836659826927,0.4074074074074074,31.1,20,37.57142857142857,7,26.0,0.7307692307692307,0.5769230769230769,15.28358755542839,0.7391304347826086,62,0.08064516129032258,0.06451612903225806,-0.19238653013494786,0.3870967741935484,35.0,13,2.6923076923076925
2017_17_HOU_IND,2017,17,2017-12-31,REG,HOU,IND,13.0,22.0,0,53,0.49056603773584906,-11.912991285388406,,0.03773584905660377,0.018867924528301886,2,-0.08395327369127269,0.3584905660377358,38.25714285714286,35,40.857142857142854,21,42.0,0.4523809523809524,0.0,-10.424232957894892,0.43478260869565216,60,0.08333333333333333,0.016666666666666666,0.049709872570671394,0.4,13.0,10,1.3
2017_17_HOU_IND,2017,17,2017-12-31,REG,IND,HOU,22.0,13.0,1,60,0.43333333333333335,-8.505336142827344,,0.08333333333333333,0.016666666666666666,5,0.049709872570671394,0.4,32.71875,32,36.55555555555556,18,38.0,0.5,0.0,-1.1913653018600028,0.5121951219512195,53,0.03773584905660377,0.018867924528301886,-0.08395327369127269,0.3584905660377358,20.0,9,2.2222222222222223
2017_17_JAX_TEN,2017,17,2017-12-31,REG,JAX,TEN,10.0,15.0,0,60,0.6,-3.621272672336798,,0.016666666666666666,0.016666666666666666,1,-0.3003954684348533,0.36666666666666664,30.53846153846154,26,34.57142857142857,14,33.0,0.5454545454545454,0.12121212121212122,-3.2550055694201108,0.5714285714285714,62,0.08064516129032258,0.016129032258064516,-0.3264498721142588,0.2903225806451613,3.0,12,0.25
2017_17_JAX_TEN,2017,17,2017-12-31,REG,TEN,JAX,15.0,10.0,1,62,0.3870967741935484,-11.841523302332163,,0.08064516129032258,0.016129032258064516,5,-0.3264498721142588,0.2903225806451613,39.06666666666667,15,36.45454545454545,11,20.0,0.3,0.0,-26.3794523548555,0.42857142857142855,60,0.016666666666666666,0.016666666666666666,-0.3003954684348533,0.36666666666666664,15.0,15,1.0
2017_17_KC_DEN,2017,17,2017-12-31,REG,KC,DEN,27.0,24.0,0,63,0.5873015873015873,7.665516609596432,,0.06349206349206349,0.047619047619047616,4,0.07487598007113304,0.4603174603174603,29.96969696969697,33,38.90909090909091,11,39.0,0.6923076923076923,0.0,16.204913409180556,0.6190476190476191,65,0.09230769230769231,0.06153846153846154,-0.0923023658255525,0.46153846153846156,20.0,11,1.8181818181818181
2017_17_KC_DEN,2017,17,2017-12-31,REG,DEN,KC,24.0,27.0,1,65,0.5538461538461539,-5.938602350290987,,0.09230769230769231,0.06153846153846154,6,-0.0923023658255525,0.46153846153846156,35.43333333333333,30,37.0,19,36.0,0.4722222222222222,0.16666666666666666,-4.753420348250292,0.525,63,0.06349206349206349,0.047619047619047616,0.07487598007113304,0.4603174603174603,17.0,10,1.7
2017_17_LV_LAC,2017,17,2017-12-31,REG,LV,LAC,10.0,30.0,0,53,0.5660377358490566,-10.225834412700712,,0.1509433962264151,0.05660377358490566,8,-0.13663613945951886,0.37735849056603776,33.95,20,40.44444444444444,9,25.0,0.6,0.0,-2.6640584705794566,0.5769230769230769,65,0.18461538461538463,0.1076923076923077,0.36971457271471747,0.5230769230769231,10.0,10,1.0
