latent,pool_n,market,fav_win,push,dog_win,ev_fav,ev_dog,ev_formula_E,side_E,pub_A,pub_B,pub_C
3.75,671,1.5,0.6140089418777943,0.0,0.3859910581222057,0.17219888903942546,-0.2631079799485165,0.16402870533330616,1,4.0,4.0,4.0
3.75,671,2.0,0.6020864381520119,0.011922503725782414,0.3859910581222057,0.1613602492887142,-0.25118547622273396,0.1380100759946997,1,4.0,4.0,4.0
3.75,671,2.5,0.6020864381520119,0.0,0.3979135618479881,0.14943774556293177,-0.2403468364720227,0.10938958372223255,1,4.0,4.0,4.0
3.75,671,3.0,0.5141579731743666,0.08792846497764531,0.3979135618479881,0.06950277740143607,-0.15241837149437748,0.035654284114243,1,4.0,4.0,4.0
3.75,671,3.5,0.5141579731743666,0.0,0.4858420268256334,-0.018425687576209195,-0.0724834033328818,-0.04545454545454549,1,4.0,4.0,4.0
3.75,671,4.0,0.4843517138599106,0.029806259314456036,0.4858420268256334,-0.04552228695298739,-0.04267714401842572,-0.01557947755666392,-1,4.0,4.0,4.0
3.75,671,4.5,0.4843517138599106,0.0,0.5156482861400894,-0.07532854626744345,-0.015580544641647527,0.01157967507777403,-1,4.0,4.0,4.0
3.75,671,5.0,0.4485842026825633,0.03576751117734724,0.5156482861400894,-0.10784446551957734,0.020186966535699725,0.03627752058486805,-1,4.0,4.0,4.0
3.75,671,5.5,0.4485842026825633,0.0,0.5514157973174366,-0.14361197669692455,0.05270288578783356,0.058730107409498834,-1,4.0,4.0,4.0
3.75,671,6.0,0.3979135618479881,0.05067064083457526,0.5514157973174366,-0.18967619563744748,0.10337352662240878,0.09888758772445948,-1,4.0,4.0,4.0
6.25,423,4.0,0.5531914893617021,0.03309692671394799,0.41371158392434987,0.08918977004083384,-0.17709004943047504,0.10823523537634952,1,6.5,6.5,6.5
6.25,423,4.5,0.5531914893617021,0.0,0.44680851063829785,0.056092843326885855,-0.14700193423597688,0.07836016747846795,1,6.5,6.5,6.5
6.25,423,5.0,0.5271867612293144,0.026004728132387706,0.44680851063829785,0.03245218138835154,-0.12099720610358909,0.05590758065383697,1,6.5,6.5,6.5
6.25,423,5.5,0.5271867612293144,0.0,0.4728132387706856,0.006447453255963802,-0.09735654416505478,0.031209735146742894,1,6.5,6.5,6.5
6.25,423,6.0,0.4728132387706856,0.054373522458628844,0.4728132387706856,-0.04298302170642602,-0.04298302170642602,-0.005297065139584904,1,6.5,6.5,6.5
6.25,423,6.5,0.4728132387706856,0.0,0.5271867612293144,-0.09735654416505478,0.006447453255963802,-0.04545454545454549,-1,6.5,6.5,6.5
6.25,423,7.0,0.42080378250591016,0.05200945626477541,0.5271867612293144,-0.14463786804212336,0.05845690952073924,0.017392034952108896,-1,6.5,6.5,6.5
6.25,423,7.5,0.42080378250591016,0.0,0.5791962174940898,-0.19664732430689874,0.10573823339780776,0.07452528986724923,-1,6.5,6.5,6.5
6.25,423,8.0,0.39243498817966904,0.028368794326241134,0.5791962174940898,-0.2224371373307543,0.1341070277240489,0.10494354081781952,-1,6.5,6.5,6.5
6.25,423,8.5,0.39243498817966904,0.0,0.607565011820331,-0.2508059316569955,0.1598968407479045,0.1325964962274288,-1,6.5,6.5,6.5
6.75,504,4.5,0.5833333333333334,0.0,0.4166666666666667,0.11363636363636363,-0.20454545454545456,0.07836016747846795,1,7.0,6.5,7.0
6.75,504,5.0,0.5595238095238095,0.023809523809523808,0.4166666666666667,0.09199134199134196,-0.18073593073593072,0.05590758065383697,1,7.0,6.5,7.0
6.75,504,5.5,0.5595238095238095,0.0,0.44047619047619047,0.06818181818181814,-0.15909090909090912,0.031209735146742894,1,7.0,6.5,7.0
6.75,504,6.0,0.5099206349206349,0.0496031746031746,0.44047619047619047,0.023088023088023005,-0.1094877344877345,-0.005297065139584904,1,7.0,6.5,7.0
6.75,504,6.5,0.5099206349206349,0.0,0.49007936507936506,-0.02651515151515152,-0.0643939393939394,-0.04545454545454549,1,7.0,6.5,7.0
6.75,504,7.0,0.4523809523809524,0.057539682539682536,0.49007936507936506,-0.0788239538239538,-0.00685425685425693,0.017392034952108896,-1,7.0,6.5,7.0
6.75,504,7.5,0.4523809523809524,0.0,0.5476190476190477,-0.13636363636363644,0.04545454545454544,0.07452528986724923,-1,7.0,6.5,7.0
6.75,504,8.0,0.42658730158730157,0.025793650793650792,0.5476190476190477,-0.15981240981240988,0.0712481962481963,0.10494354081781952,-1,7.0,6.5,7.0
6.75,504,8.5,0.42658730158730157,0.0,0.5734126984126984,-0.18560606060606058,0.09469696969696965,0.1325964962274288,-1,7.0,6.5,7.0
6.75,504,9.0,0.4166666666666667,0.00992063492063492,0.5734126984126984,-0.19462481962481956,0.10461760461760454,0.13960584202182133,-1,7.0,6.5,7.0
7.25,514,5.0,0.5758754863813229,0.021400778210116732,0.4027237354085603,0.12079943402900593,-0.20976299964626807,0.17588741597563168,1,7.5,7.5,7.0
7.25,514,5.5,0.5758754863813229,0.0,0.42412451361867703,0.09939865581888922,-0.19030774672798015,0.15118957046853757,1,7.5,7.5,7.0
7.25,514,6.0,0.5369649805447471,0.038910505836575876,0.42412451361867703,0.06402546869472936,-0.15139724089140433,0.1146827701822098,1,7.5,7.5,7.0
7.25,514,6.5,0.5369649805447471,0.0,0.46303501945525294,0.025114962858153428,-0.11602405376724441,0.07452528986724923,1,7.5,7.5,7.0
7.25,514,7.0,0.4669260700389105,0.07003891050583658,0.46303501945525294,-0.038556773965334336,-0.04598514326140789,0.017392034952108896,1,7.5,7.5,7.0
7.25,514,7.5,0.4669260700389105,0.0,0.5330739299610895,-0.10859568447117086,0.01768659356207988,-0.04545454545454549,-1,7.5,7.5,7.0
7.25,514,8.0,0.44357976653696496,0.023346303501945526,0.5330739299610895,-0.12981959674566682,0.04103289706402542,-0.015036294503975133,-1,7.5,7.5,7.0
7.25,514,8.5,0.44357976653696496,0.0,0.556420233463035,-0.15316590024761237,0.062256809338521374,0.0126166609056343,-1,7.5,7.5,7.0
7.25,514,9.0,0.4357976653696498,0.007782101167315175,0.556420233463035,-0.1602405376724443,0.07003891050583658,0.019626006700026857,-1,7.5,7.5,7.0
